Ticket subject,Ticket Type,Ticket priority,Module,Product
Sprout Issue,Problem,High,Downtime,Sprout HR
Salary Adjustment Query | Funtastic International Inc.,Problem,Normal,Salary,Sprout Payroll
Mobile App Concern | Funtastic International Inc.,Enhancement,Normal,Payslip,Sprout HR
Mobile App Concern | Funtastic International Inc.,Enhancement,Normal,Payslip,Sprout Mobile
View Access Query | Funtastic International Inc.,Problem,Normal,Access Levels,Sprout HR
View Access Query | Funtastic International Inc.,Problem,Normal,Admin Dashboard,Sprout HR
View Access Query | Funtastic International Inc.,Problem,Normal,Employee Dashboard,Sprout HR
View Access Query | Funtastic International Inc.,Problem,Normal,Employee Profile,Sprout HR
View Access Query | Funtastic International Inc.,Problem,Normal,Employee Viewing,Sprout HR
Communal Artisanry Group Inc. - Sprout HR,Problem,High,Downtime,Sprout HR
Leave Concern | Funtastic International Inc.,Problem,Normal,Holidays,Sprout HR
SPROUT HR - CANNOT ACCESS,Problem,Urgent,Downtime,Sprout HR
"Fligno Software Philippines, Inc. - Sprout HR - Log in issue",Problem,Urgent,Downtime,Sprout HR
"Viyahe Philippines, Inc. - Leave Expiration",Problem,Normal,Leave Plans and Usage,Sprout HR
"Viyahe Philippines, Inc. - Leave Expiration",Problem,Normal,Leave Types and Policies,Sprout HR
Service Unavailable,Problem,Normal,Downtime,Sprout HR
MEGA LIFESCIENCES_LAST PAY TEMPLATE,Question,Normal,Final Pay,Sprout Payroll
Change Request - CRF-18582 - Sunnies Inc.,Task,Normal,Biometrics Device,Sprout HR
Request for Latest Backend Policy,Task,Normal,Backend Policy,Sprout HR
Sprout HR access,Problem,Urgent,Downtime,Sprout HR
Change Request - CRF-18583 - Diamond Express & General Services Inc.,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
 DELAYED EMAIL  FOR PASSWORD RESET,Problem,Normal,Email Notification,Sprout HR
TeleDial Call Center Inc. | HR Concern,Problem,Urgent,Downtime,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Attendance Management,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Attendance Report,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Attendance Today / Team Attendance Widget,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Employee List Report,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Manage Schedule,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Team Attendance,Sprout HR
INQUIRY: Reporting,Enhancement,Low,Work Schedule,Sprout HR
Sprout Accessibility Error,Problem,Normal,Login,Sprout Payroll
Sprout Accessibility Error,Problem,Normal,SSO,Sprout Payroll
Sprout Concern- Leaves,Problem,Normal,Leave Report,Sprout HR
INTELEGENCIA BPO LLC CORP: SPROUT PAYROLL USER ACCES,Problem,Normal,Login,Sprout HR
INTELEGENCIA BPO LLC CORP: SPROUT PAYROLL USER ACCES,Problem,Normal,SSO,Sprout HR
INTELEGENCIA BPO LLC CORP: SPROUT PAYROLL USER ACCES,Problem,Normal,Users,Sprout HR
Change Request - CRF-18584 - Palawan,Task,Normal,Account Lockout,Sprout HR
Wyndham: Payroll Run concerns,Problem,Normal,Payroll Runs,Sprout Payroll
"Change Request - CRF-18586 - AQubic, Co",Task,Normal,Others,Sprout HR
"Change Request - CRF-18586 - AQubic, Co",Task,Normal,Others,Sprout Payroll
"Change Request - CRF-18586 - AQubic, Co",Task,Normal,SSO,Sprout HR
"Change Request - CRF-18586 - AQubic, Co",Task,Normal,SSO,Sprout Payroll
[INTERNAL] Bestpak | System Activity,Problem,Normal,Audit Trail,Sprout HR
SVC PH: Insight Issue,Problem,Normal,Insight: Absenteeism Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: Adjusttments Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: Attrition Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: Daily Attendance Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: General Workforce Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: Headcount Dashboard,Sprout Insight
SVC PH: Insight Issue,Problem,Normal,Insight: Overtime Dashboard,Sprout Insight
Edamama: Sprout Attendance Concern,Problem,Normal,Geotagging,Sprout Mobile
Treatment of Maternity Benefit in Sprout Payroll systems,Question,Low,Payroll Runs,Sprout Payroll
"SSO NETBANK A RURAL BANK, INC.: Missing CREATE NEW PAYROLL (button)",Problem,Normal,Login,Sprout Payroll
"SSO NETBANK A RURAL BANK, INC.: Missing CREATE NEW PAYROLL (button)",Problem,Normal,RBAC,Sprout Payroll
"SSO NETBANK A RURAL BANK, INC.: Missing CREATE NEW PAYROLL (button)",Problem,Normal,Users,Sprout Payroll
SSO Migration pending?,Problem,Normal,Others,Sprout HR
SSO Migration pending?,Problem,Normal,Others,Sprout Payroll
SSO Migration pending?,Problem,Normal,SSO,Sprout HR
SSO Migration pending?,Problem,Normal,SSO,Sprout Payroll
SPROUT | LEAVE ISSUE,Problem,Normal,Approval Center,Sprout HR
SPROUT | LEAVE ISSUE,Problem,Normal,Leave Application,Sprout HR
SPROUT | LEAVE ISSUE,Problem,Normal,Leave Plans and Usage,Sprout HR
Rare Inc: Payroll Concerns,Problem,Normal,Payroll Runs,Sprout Payroll
Rare Inc: Payroll Concerns,Problem,Normal,Users,Sprout Payroll
Amadeus: Locked Account,Problem,Low,Account Lockout,Sprout HR
SPROUT PAYROLL ERROR,Problem,Normal,Employees,Sprout Payroll
Requests not working,Problem,Normal,Official Business Application,Sprout HR
Fwd: Sprout Attendance Suumary issue,Problem,Normal,Attendance Report,Sprout HR
Fwd: Sprout Attendance Suumary issue,Problem,Normal,Overtimes,Sprout HR
HDPI | Exclude Negative Pay,Enhancement,Low,Net Pay Threshold,Sprout Payroll
Mega Lifesciences Limited Inc. - Back End Policy,Task,Normal,Backend Policy,Sprout HR
Loan Balance Discrepancy,Problem,Normal,Instacash Widget,Sprout Instacash
Loan Balance Discrepancy,Problem,Normal,InstaCash: Payments,Sprout Instacash
SPROUT CONCERN,Problem,Normal,Access Levels,Sprout HR
SPROUT CONCERN,Problem,Normal,Account Lockout,Sprout HR
URGENT CONCERN -  Access Denied in Sprout Payroll (DECC),Problem,High,Login,Sprout HR
URGENT CONCERN -  Access Denied in Sprout Payroll (DECC),Problem,High,Login,Sprout Payroll
"Change Request - CRF-18587 - KMC Savills, Inc.",Task,Normal,Activation,Sprout Mobile
"Change Request - CRF-18587 - KMC Savills, Inc.",Task,Normal,Geofencing,Sprout Mobile
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Attendance Report,Sprout HR
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Biologs,Sprout HR
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Manage Schedule,Sprout HR
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Resolution Center,Sprout HR
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Resolution Center Widget,Sprout HR
Request for Assistance - Payroll for Exempted Employees in Doing Timesheet,Problem,Normal,Work Schedule,Sprout HR
Change Request - CRF-18588 - Philippine Chamber of Commerce and Industry Inc.,Task,Urgent,SSO,Sprout HR
Change Request - CRF-18588 - Philippine Chamber of Commerce and Industry Inc.,Task,Urgent,SSO,Sprout Payroll
Insights can cover these items?,Question,Normal,Insight: Absenteeism Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Adjusttments Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Attrition Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Daily Attendance Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: General Workforce Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Headcount Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Overtime Dashboard,Sprout Insight
Insights can cover these items?,Question,Normal,Insight: Planned Leaves Dashboard,Sprout Insight
Sprout - InstaCash Payment Not Updated,Problem,Normal,Instacash Widget,Sprout Instacash
Sprout - InstaCash Payment Not Updated,Problem,Normal,InstaCash: Payments,Sprout Instacash
loan deduction | sprout,Problem,Normal,Instacash Widget,Sprout Instacash
loan deduction | sprout,Problem,Normal,InstaCash: Payments,Sprout Instacash
AJ Kalinga Foundation - Upfront Leaves,Question,Low,Employee Profile,Sprout HR
AJ Kalinga Foundation - Upfront Leaves,Question,Low,Leave Application,Sprout HR
AJ Kalinga Foundation - Upfront Leaves,Question,Low,Leave Plans and Usage,Sprout HR
AJ Kalinga Foundation - Upfront Leaves,Question,Low,Leave Types and Policies,Sprout HR
AJ Kalinga Foundation - Upfront Leaves,Question,Low,Leaves,Sprout HR
Change Request - CRF-18589 - Maven Business Process Solutions Inc.,Task,Normal,Geotagging,Sprout Mobile
FW: SCREEN SHOTS / SPROUT,Problem,Normal,Mobile Bundy,Sprout Mobile
"Urgent- Payment on March 25, not reflected - Please fix",Task,Normal,InstaCash: Payments,Sprout Instacash
"Change Request - CRF-18590 - Mober Technology Pte., Inc.",Task,Urgent,Others,Sprout HR
"Change Request - CRF-18590 - Mober Technology Pte., Inc.",Task,Urgent,SSO,Sprout HR
Taisei Philippines - HR - System Issue,Problem,Normal,Login,Sprout HR
Error Creating Employee in Payroll,Problem,Normal,Access Levels,Sprout HR
Error Creating Employee in Payroll,Problem,Normal,Add Employee,Sprout HR
Error Creating Employee in Payroll,Problem,Normal,Current Payroll Information,Sprout HR
Error Creating Employee in Payroll,Problem,Normal,Employee Profile,Sprout HR
Starpay Corporation: Log In Issues,Problem,Normal,Attendance Management,Sprout HR
Starpay Corporation: Log In Issues,Problem,Normal,Attendance Report,Sprout HR
Starpay Corporation: Log In Issues,Problem,Normal,Biologs,Sprout HR
Starpay Corporation: Log In Issues,Problem,Normal,Certificates of Attendance,Sprout HR
Payroll Login - IMPT - NEED HELP - URGENT,Problem,Normal,Login,Sprout HR
Payroll Login - IMPT - NEED HELP - URGENT,Problem,Normal,Login,Sprout Payroll
Payroll Login - IMPT - NEED HELP - URGENT,Problem,Normal,SSO,Sprout HR
Payroll Login - IMPT - NEED HELP - URGENT,Problem,Normal,SSO,Sprout Payroll
Edukasyon.ph (SS0) - Change in Payroll Run Status Email Notification,Problem,Normal,Users,Sprout Payroll
"Change Request - CRF-18591 - Pronet Systems Integrated Network Solution, Inc.",Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout HR
Change Request - CRF-18592 - Maxicare Health Services Inc,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
"Diversion AGT & Sons, Inc. (DBC Homes) - Sprout HR - Ask for Assistance",Problem,Normal,Attendance Report,Sprout HR
"Diversion AGT & Sons, Inc. (DBC Homes) - Sprout HR - Ask for Assistance",Problem,Normal,Schedule Adjustment Application,Sprout HR
Re: Username & Email Matched | SSO - Apotheca,Question,Low,SSO,Sprout HR
Re: Username & Email Matched | SSO - Apotheca,Question,Low,SSO,Sprout Payroll
Re: Username & Email Matched | SSO - Apotheca,Question,Low,Users,Sprout HR
Re: Username & Email Matched | SSO - Apotheca,Question,Low,Users,Sprout Payroll
Username & Email Matched | SSO - Archax,Problem,Normal,Others,Sprout HR
Username & Email Matched | SSO - Archax,Problem,Normal,Others,Sprout Payroll
Username & Email Matched | SSO - Archax,Problem,Normal,SSO,Sprout HR
Username & Email Matched | SSO - Archax,Problem,Normal,SSO,Sprout Payroll
Change Request - CRF-18594 - Kimstore Enterprises,Task,Normal,Deactivation,Sprout HR
Change Request - CRF-18594 - Kimstore Enterprises,Task,Normal,Deactivation,Sprout Instacash
Change Request - CRF-18594 - Kimstore Enterprises,Task,Normal,Instacash Widget,Sprout HR
Change Request - CRF-18594 - Kimstore Enterprises,Task,Normal,Instacash Widget,Sprout Instacash
Change Request - CRF-18593 - Baconnoisseur Corporation,Task,Normal,Activation,Sprout Mobile
Change Request - CRF-18593 - Baconnoisseur Corporation,Task,Normal,Geotagging,Sprout Mobile
FPS | Leave Report with Accrual,Problem,Normal,Leave Credits Upload,Sprout HR
FPS | Leave Report with Accrual,Problem,Normal,Leave Plans and Usage,Sprout HR
Username & Email Matched | SSO - HDI,Problem,Normal,SSO,Sprout HR
Username & Email Matched | SSO - HDI,Problem,Normal,SSO,Sprout Payroll
Username & Email Matched | SSO - HDI,Problem,Normal,Users,Sprout HR
Username & Email Matched | SSO - HDI,Problem,Normal,Users,Sprout Payroll
Cannot Access Payroll (Part 2),Problem,Normal,Current Payroll Information,Sprout HR
Cannot Access Payroll (Part 2),Problem,Normal,Current Payroll Information,Sprout Payroll
Cannot Access Payroll (Part 2),Problem,Normal,SSO,Sprout HR
Cannot Access Payroll (Part 2),Problem,Normal,SSO,Sprout Payroll
DIAMOND EXPRESS - COMPUTATION OF HOLIDAY COUNT/ PAY,Problem,Normal,Attendance Report,Sprout HR
DIAMOND EXPRESS - COMPUTATION OF HOLIDAY COUNT/ PAY,Problem,Normal,Backend Policy,Sprout HR
DIAMOND EXPRESS - COMPUTATION OF HOLIDAY COUNT/ PAY,Problem,Normal,Holidays,Sprout HR
Change Request - CRF-18595 - Philippine Chamber of Commerce and Industry Inc.,Task,Normal,SSO,Sprout HR
Change Request - CRF-18595 - Philippine Chamber of Commerce and Industry Inc.,Task,Normal,SSO,Sprout Payroll
Password Reset Link not Sent,Problem,High,Email Notification,Sprout HR
Password Reset Link not Sent,Problem,High,SSO,Sprout HR
"Change Request -  - Lundbeck Philippines, Inc.",Task,Normal,Backend Policy,Sprout Payroll
Re: Request #189578: How would you rate the support you received?,Problem,Normal,Instacash Widget,Sprout Instacash
Re: Request #189578: How would you rate the support you received?,Problem,Normal,InstaCash: Payments,Sprout Instacash
Mez Limited: instaCash loan,Problem,Normal,InstaCash: Payments,Sprout Instacash
Can't Access HR portal on Sprout,Problem,Urgent,Login,Sprout HR
Can't Access HR portal on Sprout,Problem,Urgent,Login,Sprout Payroll
Can't Access HR portal on Sprout,Problem,Urgent,SSO,Sprout HR
Can't Access HR portal on Sprout,Problem,Urgent,SSO,Sprout Payroll
Wrong Calculation of Basic Pay,Problem,Normal,Final Pay,Sprout Payroll
Sponsorship Invitation and Proposal,Question,Low,Others,Sprout HR
Re: Sprout Solutions | Your SSO Migration,Problem,Normal,Forgot Password,Sprout Payroll
"Infomax Systems Solutions and Services, Inc. - SSO Matching and Duplicates",Problem,Normal,SSO,Sprout HR
"Infomax Systems Solutions and Services, Inc. - SSO Matching and Duplicates",Problem,Normal,SSO,Sprout Payroll
"Infomax Systems Solutions and Services, Inc. - SSO Matching and Duplicates",Problem,Normal,Users,Sprout HR
"Infomax Systems Solutions and Services, Inc. - SSO Matching and Duplicates",Problem,Normal,Users,Sprout Payroll
Change Request - CRF-18596 - Exigent Manpower and Consultancy Co.,Task,Normal,Activation,Sprout HR
Change Request - CRF-18596 - Exigent Manpower and Consultancy Co.,Task,Normal,Clock In Homepage,Sprout HR
Re: Stone Employee Depot Sprout Password Update,Problem,Normal,Forgot Password,Sprout HR
Sprout Issue,Problem,Normal,Instacash Widget,Sprout Instacash
Sprout Issue,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request -  - OSL International Inc.,Task,Normal,Geotagging,Sprout Mobile
Account Ventures Inc - Sproout HR - Location,Problem,Normal,Geofencing,Sprout HR
Account Ventures Inc - Sproout HR - Location,Problem,Normal,Geofencing,Sprout Mobile
Account Ventures Inc - Sproout HR - Location,Problem,Normal,Work Place / Location,Sprout HR
Account Ventures Inc - Sproout HR - Location,Problem,Normal,Work Place / Location,Sprout Mobile
woyn Philippines Inc - Sprout HR,Question,Low,Backend Policy,Sprout HR
woyn Philippines Inc - Sprout HR,Question,Low,Work Schedule,Sprout HR
SSO Activation Reminder: What You Need to Know,Task,Normal,SSO,Sprout HR
SSO Activation Reminder: What You Need to Know,Task,Normal,SSO,Sprout Payroll
Reliasourcing Inc | Back end policies request,Task,Normal,Backend Policy,Sprout HR
Change Request - CRF-18597 - Reliasourcing Inc.,Enhancement,Normal,Leave Application,Sprout HR
Re: Sprout Solutions | Your SSO Migration,Problem,Normal,Others,Sprout HR
Re: Sprout Solutions | Your SSO Migration,Problem,Normal,Others,Sprout Payroll
Re: Sprout Solutions | Your SSO Migration,Problem,Normal,SSO,Sprout HR
Re: Sprout Solutions | Your SSO Migration,Problem,Normal,SSO,Sprout Payroll
Pronet_Sprout HR computed under time,Problem,Normal,Attendance Management,Sprout HR
Pronet_Sprout HR computed under time,Problem,Normal,Attendance Report,Sprout HR
Pronet_Sprout HR computed under time,Problem,Normal,Backend Policy,Sprout HR
Change Request - CRF-18598 - Autocentral Group,Problem,Normal,Schedule Adjustments,Sprout HR
Change Request - CRF-18598 - Autocentral Group,Problem,Normal,Work Schedule,Sprout HR
Sprout HR Account Creation - Lundb - lundbeckphilippines.hrhub.ph,Task,Normal,Account Creation,Sprout HR
Instacash Loan Update,Problem,Normal,Instacash Widget,Sprout Instacash
Instacash Loan Update,Problem,Normal,InstaCash: Payments,Sprout Instacash
Fwd: Downtime Confirmation,Problem,Normal,Login,Sprout HR
Fwd: Downtime Confirmation,Problem,Normal,Login,Sprout Payroll
"RE: Staywell Information Systems, Inc: Manager/ Admin/ Super Admin Dashboard� own attendance",Question,Normal,Admin Dashboard,Sprout HR
"RE: Staywell Information Systems, Inc: Manager/ Admin/ Super Admin Dashboard� own attendance",Question,Normal,Employee Dashboard,Sprout HR
"RE: Staywell Information Systems, Inc: Manager/ Admin/ Super Admin Dashboard� own attendance",Question,Normal,Manager Dashboard,Sprout HR
"FW: Staywell Information Systems, Inc: E-mail Notification",Enhancement,Normal,Email Notification,Sprout HR
"FW: Staywell Information Systems, Inc: E-mail Notification",Enhancement,Normal,Leave Application,Sprout HR
"FW: Staywell Information Systems, Inc: Employee Dashboard� Team Attendance",Problem,Normal,Attendance Today / Team Attendance Widget,Sprout HR
"FW: Staywell Information Systems, Inc: Employee Dashboard� Team Attendance",Problem,Normal,Employee Dashboard,Sprout HR
InstaCash Eligibility of all Sprout Clients,Task,Normal,Company,Sprout HR
InstaCash Eligibility of all Sprout Clients,Task,Normal,Insight: Attrition Dashboard,Sprout HR
"FW: Staywell Information Systems, Inc: Password Reset",Question,Normal,Change Password,Sprout HR
"SSO Activation for Apr. 23, 2024 (Batch 41)",Task,Normal,Activation,Sprout HR
"SSO Activation for Apr. 23, 2024 (Batch 41)",Task,Normal,Activation,Sprout Payroll
"SSO Activation for Apr. 23, 2024 (Batch 41)",Task,Normal,SSO,Sprout HR
"SSO Activation for Apr. 23, 2024 (Batch 41)",Task,Normal,SSO,Sprout Payroll
13th month pay resigned employees,Problem,Normal,13th Month Pay,Sprout Payroll
13th month pay resigned employees,Problem,Normal,Final Pay,Sprout Payroll
"Change Request - CRF-18599 - SAN TECHNOLOGY, INC.",Task,Normal,Activation,Sprout HR
"Change Request - CRF-18599 - SAN TECHNOLOGY, INC.",Task,Normal,MFA,Sprout HR
Century Peak - Payroll - Security Password,Problem,Normal,Security Password,Sprout Payroll
"FW: Staywell Information Systems, Inc: Overtime",Question,,Holidays,Sprout HR
"FW: Staywell Information Systems, Inc: Overtime",Question,,Leave Application,Sprout HR
Unable to receive reset Password link,Problem,High,Forgot Password,Sprout HR
Unable to receive reset Password link,Problem,High,Forgot Password,Sprout Payroll
Unable to receive reset Password link,Problem,High,SSO,Sprout HR
Unable to receive reset Password link,Problem,High,SSO,Sprout Payroll
Unable to receive reset Password link,Problem,High,Users,Sprout HR
Unable to receive reset Password link,Problem,High,Users,Sprout Payroll
Aprio | Add new user,Problem,High,Login,Sprout HR
Aprio | Add new user,Problem,High,Login,Sprout Payroll
Aprio | Add new user,Problem,High,SSO,Sprout HR
Aprio | Add new user,Problem,High,SSO,Sprout Payroll
Aprio | Add new user,Problem,High,Users,Sprout HR
Aprio | Add new user,Problem,High,Users,Sprout Payroll
Compress Work Week Clarification,Problem,Normal,Work Schedule,Sprout HR
Payroll concerns,Problem,Normal,Payroll Runs,Sprout Payroll
Change Request - CRF-18600 - Ellenaire Electro Mechanical Corporation,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Change Request -  - The Studio of Secret6 Inc.,Task,Normal,Activation,Sprout HR
Change Request -  - The Studio of Secret6 Inc.,Task,Normal,Compensatory Time Off,Sprout HR
Re: Log-ins (Access Denied),Problem,High,Email Notification,Sprout HR
Re: Log-ins (Access Denied),Problem,High,Email Notification,Sprout Payroll
Re: Log-ins (Access Denied),Problem,High,Login,Sprout HR
Re: Log-ins (Access Denied),Problem,High,Login,Sprout Payroll
Re: Log-ins (Access Denied),Problem,High,SSO,Sprout HR
Re: Log-ins (Access Denied),Problem,High,SSO,Sprout Payroll
SPROUT HR,Problem,Normal,Login,Sprout HR
Username & Email Matched | SSO - M3 Dialysis Center,Problem,High,SSO,Sprout HR
Username & Email Matched | SSO - M3 Dialysis Center,Problem,High,SSO,Sprout Payroll
Username & Email Matched | SSO - M3 Dialysis Center,Problem,High,Users,Sprout HR
Username & Email Matched | SSO - M3 Dialysis Center,Problem,High,Users,Sprout Payroll
Data for Review | Talent Spot Group,Problem,Normal,Others,Sprout HR
Data for Review | Talent Spot Group,Problem,Normal,Others,Sprout Payroll
Data for Review | Talent Spot Group,Problem,Normal,SSO,Sprout HR
Data for Review | Talent Spot Group,Problem,Normal,SSO,Sprout Payroll
Inquiry on Holiday Duty,Problem,Normal,Attendance Report,Sprout HR
Inquiry on Holiday Duty,Problem,Normal,Holidays,Sprout HR
Inquiry on Holiday Duty,Problem,Normal,Work Schedule,Sprout HR
Re: SPROUT INACCESSIBILITY,Problem,Normal,Login,Sprout HR
Re: SPROUT INACCESSIBILITY,Problem,Normal,Login,Sprout Payroll
Re: SPROUT INACCESSIBILITY,Problem,Normal,SSO,Sprout HR
Re: SPROUT INACCESSIBILITY,Problem,Normal,SSO,Sprout Payroll
San Technology | HR | MFA OTP Concern,Problem,Normal,MFA,Sprout HR
Request for Removal of Getotag in Sprout for Employee,Problem,Normal,Activation,Sprout Mobile
Request for Removal of Getotag in Sprout for Employee,Problem,Normal,Deactivation,Sprout Mobile
Request for Removal of Getotag in Sprout for Employee,Problem,Normal,Geofencing,Sprout Mobile
Request for Removal of Getotag in Sprout for Employee,Problem,Normal,Geotagging,Sprout Mobile
Account - No Link Receive,Problem,Normal,Email Notification,Sprout HR
Account - No Link Receive,Problem,Normal,Email Notification,Sprout Payroll
Account - No Link Receive,Problem,Normal,SSO,Sprout HR
Account - No Link Receive,Problem,Normal,SSO,Sprout Payroll
Account - No Link Receive,Problem,Normal,Users,Sprout HR
Account - No Link Receive,Problem,Normal,Users,Sprout Payroll
Change Request - CRF-18601 - Diamond Express & General Services Inc.,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
CIAO & SOA Concerns,Problem,Normal,Mobile App Ciao,Sprout HR
CIAO & SOA Concerns,Problem,Normal,Mobile App Ciao,Sprout Mobile
Fwd: SPROUT ATTENDANCE REPORT,Problem,Normal,Attendance Report,Sprout HR
REQUEST FOR A MEETING,Question,Normal,Payroll - Company Profile,Sprout Payroll
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Attendance Report,Sprout HR
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Attendance Report,Sprout Payroll
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Certificates of Attendance,Sprout HR
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Certificates of Attendance,Sprout Payroll
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Import Attendance Adjustment from last cut-off,Sprout HR
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,Import Attendance Adjustment from last cut-off,Sprout Payroll
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,One-time Adjustments,Sprout HR
Realcognita Inc: Sprout Payroll - Certificate of Attendance,Problem,Normal,One-time Adjustments,Sprout Payroll
Sybex - Can't add subcompanies in admin user,Problem,Normal,Current Payroll Information,Sprout HR
Sybex - Can't add subcompanies in admin user,Problem,Normal,Current Payroll Information,Sprout Payroll
Doehle: User Can't Receive Reset Password Link,Problem,Normal,Forgot Password,Sprout HR
Doehle: User Can't Receive Reset Password Link,Problem,Normal,Forgot Password,Sprout Payroll
Doehle: User Can't Receive Reset Password Link,Problem,Normal,SSO,Sprout HR
Doehle: User Can't Receive Reset Password Link,Problem,Normal,SSO,Sprout Payroll
"Change Request - CRF-18602 - Fresh Harvest Philippines, Inc.",Task,Normal,Activation,Sprout HR
"Change Request - CRF-18602 - Fresh Harvest Philippines, Inc.",Task,Normal,Geofencing,Sprout HR
"Change Request - CRF-18603 - woyn Philippines, Inc.",Task,Normal,Backend Policy,Sprout HR
Change Request -  - The Studio of Secret6 Inc.,Task,Normal,MFA,Sprout HR
Is Lyanthe SSO ready?,Problem,Normal,SSO,Sprout HR
Is Lyanthe SSO ready?,Problem,Normal,SSO,Sprout Payroll
Is Lyanthe SSO ready?,Problem,Normal,Users,Sprout HR
Is Lyanthe SSO ready?,Problem,Normal,Users,Sprout Payroll
Error in filing CoA and SA,Problem,Normal,Certificates of Attendance,Sprout Mobile
Error in filing CoA and SA,Problem,Normal,Schedule Adjustment Application,Sprout Mobile
Guevents - SSO - Cant access payroll,Problem,Normal,Login,Sprout HR
Guevents - SSO - Cant access payroll,Problem,Normal,Login,Sprout Payroll
Guevents - SSO - Cant access payroll,Problem,Normal,SSO,Sprout HR
Guevents - SSO - Cant access payroll,Problem,Normal,SSO,Sprout Payroll
"BIOLOGS REQUEST FOR ALEXANDER FERRER ( November 1-22, 2024 )",Enhancement,Normal,Attendance Management,Sprout HR
Re: Timesheet lock,Problem,Normal,Payroll Information,Sprout HR
Re: Timesheet lock,Problem,Normal,Timesheet Lock,Sprout HR
Change Request - CRF-18604 - KMC Community,Task,Normal,Biometrics Device,Sprout HR
COMPLAINT: Cash Advance recorded at Employee's Profile but No Deduction at Payroll,Enhancement,Normal,Advances,Sprout HR
COMPLAINT: Cash Advance recorded at Employee's Profile but No Deduction at Payroll,Enhancement,Normal,Advances,Sprout Payroll
Re: Unable to log in [AC20240422164320],Problem,Normal,Login,Sprout HR
Re: Unable to log in [AC20240422164320],Problem,Normal,Login,Sprout Payroll
Re: Unable to log in [AC20240422164320],Problem,Normal,SSO,Sprout HR
Re: Unable to log in [AC20240422164320],Problem,Normal,SSO,Sprout Payroll
Change Request - CRF-18605 - Epicurean Partners Exchange Inc.,Task,Normal,Biometrics Device,Sprout HR
PAYROLL DETAILS,Problem,Normal,Work Information,Sprout HR
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Final Pay,Sprout Payroll
Re: Grace Asia Inc_Sprout HR_Resigned Employee,Problem,Normal,Payroll Runs,Sprout Payroll
"Sprout Concern_2024 Attendance Concern for Olga Torrefiel (March 11-25, 2024)",Problem,Normal,Attendance Management,Sprout HR
"Sprout Concern_2024 Attendance Concern for Olga Torrefiel (March 11-25, 2024)",Problem,Normal,Attendance Report,Sprout HR
Hoficad High Inc | Sprout HR - Incorrect Leave with Pay,Problem,Normal,Leave Application,Sprout HR
Hoficad High Inc | Sprout HR - Incorrect Leave with Pay,Problem,Normal,Leave Application,Sprout Mobile
Sprout InstaCash not updated,Task,Normal,InstaCash: Payments,Sprout Instacash
Re: Fw: Sprout,Question,Low,Login,Sprout HR
Change Request - CRF-18606 - Lia's Cakes in Season,Task,Normal,Others,Sprout HR
Change Request - CRF-18606 - Lia's Cakes in Season,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18606 - Lia's Cakes in Season,Task,Normal,SSO,Sprout HR
