Ticket subject,Ticket Type,Ticket priority,Module,Product
Sprout Concern | Admin - Francis Luscares (Aro & Golden Timekeeping),Problem,High,Users,Sprout HR
Sprout Concern | Admin - Francis Luscares (Aro & Golden Timekeeping),Problem,High,Users,Sprout Payroll
Re: Import adjustment error (no adjustment on sprout payroll),Problem,Normal,Import Attendance Adjustment from last cut-off,Sprout Payroll
RE: Schedule Mix-Up,Problem,Normal,Attendance Report,Sprout HR
RE: Schedule Mix-Up,Problem,Normal,Backend Policy,Sprout HR
RE: Schedule Mix-Up,Problem,Normal,Biologs,Sprout HR
RE: Schedule Mix-Up,Problem,Normal,Work Schedule,Sprout HR
Cianan Corp.: - Sprout HR - Sunday Schedule as Rest Day,Problem,Normal,Approval Center,Sprout HR
Cianan Corp.: - Sprout HR - Sunday Schedule as Rest Day,Problem,Normal,Schedule Adjustments,Sprout HR
Cianan Corp.: - Sprout HR - Sunday Schedule as Rest Day,Problem,Normal,Work Schedule,Sprout HR
Maison Chen Law Group: Sprout Questions ,Question,Low,Attendance Report,Sprout HR
Maison Chen Law Group: Sprout Questions ,Question,Low,Holidays,Sprout HR
Maison Chen Law Group: Sprout Questions ,Question,Low,Leaves,Sprout HR
Maison Chen Law Group: Sprout Questions ,Question,Low,Work Schedule,Sprout HR
Cannot cancel schedule adjustment,Question,Normal,Approval Center,Sprout HR
Cannot cancel schedule adjustment,Question,Normal,Schedule Adjustments,Sprout HR
INQUIRY: HOLIDAY,Problem,Normal,Attendance Report,Sprout HR
INQUIRY: HOLIDAY,Problem,Normal,Holidays,Sprout HR
INQUIRY: HOLIDAY,Problem,Normal,Schedule Adjustment Application,Sprout HR
INQUIRY: HOLIDAY,Problem,Normal,Schedule Adjustments,Sprout HR
Sprout Loan,Problem,Normal,Instacash Widget,Sprout Instacash
Sprout Loan,Problem,Normal,InstaCash: Payments,Sprout Instacash
Ropo Commerce Solutins Inc. - Payroll - Assistance Needed with De Minimis Benefits Setup,Problem,Normal,De Minimis,Sprout Payroll
